nom_pays,em_2000,em_2010
Autriche,7.77425973898237,8.07113180231399
Belgique,11.2296676990611,10.1714652153634
Bulgarie,5.32803434248386,5.9649002061902
Chypre,7.34729510542887,6.92787242992166
République tchèque,12.0768890449527,10.6525786177933
Allemagne,10.0956398829225,9.27963401169499
Danemark,9.61317555419716,8.40721667045503
Espagne,7.25782434589112,5.81641636625128
Estonie,10.6362516419289,13.5996890666366
Finlande,10.1284741400511,11.5752816522205
France,5.94666546275395,5.42898086189895
Grèce,8.47843382003456,7.54018386811447
Croatie,4.32821192479828,4.69619597772236
Hongrie,5.46729669489807,5.02231164868321
Irlande,10.8347426425178,8.78361393417548
Italie,7.912673166227,6.83837457020099
Lituanie,3.47572906808217,4.34861630293916
Luxembourg,18.8855122622049,21.6351358015437
Lettonie,2.68262296466812,3.84959345523717
Malte,5.29246296339022,6.17494957877773
Pays-Bas,10.8947262797751,11.0170708560989
Pologne,7.82279832871167,8.31337682505654
Portugal,6.09640338514531,4.55275264586545
Roumanie,4.04051865503903,3.92221356080157
Slovaquie,6.65932948826437,6.72195956247584
Slovénie,7.23840366026874,7.48585436860503
Suède,5.56243008285854,5.54734805226545
